film,horizon,diffusion_steps,guidance_weight,ensemble_temperature,weight_starting,mean_return
True,4,20,1.5,0.5,False,5005.710779926023
True,4,20,0.7,0.5,False,4964.948535541664
True,8,20,0.7,-1.0,False,4945.659351998804
True,4,20,0.7,-1.0,False,4883.67662384265
True,8,20,0.5,0.5,False,4881.951099716127
True,8,20,0.5,-1.0,False,4851.344333201347
True,8,20,1.5,-1.0,True,4850.2820256403775
True,8,20,1.5,0.5,False,4815.451346815413
True,4,20,0.5,-1.0,False,4801.16459921057
True,8,20,0.7,0.5,False,4783.813011563241
True,8,20,0.7,-1.0,True,4759.874133504428
True,8,20,1.5,-1.0,False,4747.883521912829
True,8,20,0.5,-1.0,True,4712.447136187403
True,8,20,1.5,0.5,True,4649.431104178043
True,4,20,1.5,-1.0,False,4637.15898248016
True,4,20,0.5,0.5,False,4632.217455314395
True,4,20,1.5,-1.0,True,4618.4715259855675
True,4,20,0.7,-1.0,True,4613.270238909754
True,8,20,0.7,0.5,True,4606.091720641061
True,4,20,1.5,0.5,True,4573.346930134025
True,8,20,0.5,0.5,True,4507.939319622446
False,4,20,1.5,-1.0,False,4497.4594358567565
False,4,20,0.7,0.5,False,4478.411502128364
False,4,20,0.7,-1.0,False,4466.557267592061
True,4,20,0.5,-1.0,True,4416.883781550977
False,4,20,0.5,0.5,False,4409.862548767582
False,4,20,1.5,0.5,False,4403.936727503918
True,4,20,0.7,0.5,True,4381.530536129145
False,4,20,3.0,-1.0,False,4335.972358269542
False,8,20,0.5,0.5,False,4283.24321925121
True,4,20,0.5,0.5,True,4241.66411410076
False,4,20,0.5,-1.0,False,4238.816889509951
False,8,20,0.5,-1.0,False,4086.5727020071686
False,8,20,0.7,-1.0,False,4021.8272532650944
True,8,20,3.0,0.5,False,3979.8535112454542
True,4,20,3.0,0.5,False,3888.606169033993
True,8,20,3.0,0.5,True,3857.427613101523
True,4,20,3.0,0.5,True,3650.1872886169567
False,8,20,0.7,0.5,False,3420.778428214461
False,4,20,3.0,0.5,False,3376.0806796180636
True,8,20,3.0,-1.0,True,3187.732466911317
True,8,20,3.0,-1.0,False,3011.1918531148863
False,4,20,3.0,-1.0,True,2788.027392083956
True,4,20,3.0,-1.0,False,2610.731673171425
False,8,20,1.5,-1.0,False,2583.182638287969
True,4,20,3.0,-1.0,True,2375.3753385241607
False,4,20,1.5,-1.0,True,1914.62109247087
False,4,20,3.0,0.5,True,1401.831457052937
False,8,20,3.0,-1.0,False,1084.1644681921498
False,8,20,1.5,-1.0,True,537.0513008859928
False,4,20,0.7,-1.0,True,530.6753379263585
False,8,20,0.7,-1.0,True,457.56334205787493
False,4,20,0.5,-1.0,True,401.273363899253
False,8,20,0.5,-1.0,True,372.2945010790196
False,8,20,1.5,0.5,False,153.5535290834564
False,8,20,3.0,-1.0,True,115.6786190852196
False,4,20,1.5,0.5,True,106.42317442075353
False,4,20,0.7,0.5,True,63.13169318952907
False,4,20,0.5,0.5,True,59.104607662759236
False,8,20,0.7,0.5,True,32.16590715120949
False,8,20,0.5,0.5,True,31.302657986680597
False,8,20,1.5,0.5,True,27.72064327813193
False,8,20,3.0,0.5,False,25.213650903707524
False,8,20,3.0,0.5,True,-49.826656883808276
