film,horizon,diffusion_steps,guidance_weight,ensemble_temperature,mean_return
True,16,10,1.5,0.5,3621.3273847885484
True,16,10,3.0,0.5,3609.2604726329378
True,16,40,3.0,0.5,3607.093706706206
True,16,20,0.7,0.5,3577.7341306099743
True,16,40,0.7,1.0,3577.6663582553238
True,16,20,1.5,0.5,3574.9840016007224
True,16,10,0.7,0.5,3574.513687324436
True,16,10,0.5,1.0,3570.439079980582
True,16,40,1.5,1.0,3564.5119921940045
True,16,10,0.5,0.5,3563.817987007724
True,16,10,0.7,0.0,3559.188933296744
True,16,20,0.5,1.0,3552.3144084374294
True,16,40,1.5,0.5,3549.278383484025
True,16,40,0.7,0.5,3548.982105722488
True,16,10,1.5,1.0,3545.516277807347
True,16,10,0.7,1.0,3542.105836264657
True,16,20,0.7,-1.0,3533.717170943103
True,64,10,0.5,0.5,3529.956473658526
True,16,20,1.5,1.0,3525.8993641320644
True,16,20,0.7,1.0,3519.481431210853
True,16,10,0.7,-1.0,3518.5827388221073
True,16,40,0.5,0.5,3509.3332895209487
True,32,40,0.5,0.5,3502.0120928339857
True,32,40,0.7,0.5,3497.346121186212
True,16,20,3.0,0.5,3495.2873551184603
True,16,10,3.0,1.0,3494.2134150181146
True,64,10,0.7,0.5,3494.02170387936
True,16,40,1.5,-1.0,3489.7765441980023
True,16,10,1.5,-1.0,3487.8175833091755
True,16,40,0.5,1.0,3487.3972805891717
True,16,10,1.5,0.0,3486.38156043576
True,32,40,0.5,1.0,3482.3493380035507
True,16,20,1.5,0.0,3481.0545234109786
True,16,40,3.0,1.0,3475.081375174203
True,16,40,3.0,-1.0,3467.8047430774727
True,16,10,0.5,-1.0,3460.822767182378
True,32,40,0.5,-1.0,3456.4526538420514
False,64,20,3.0,0.5,3454.1198976916226
True,16,40,0.7,-1.0,3453.751143913577
True,32,40,0.7,1.0,3442.3546003223914
True,32,40,0.5,0.0,3434.8501628253052
True,16,20,0.7,0.0,3433.531669386523
True,16,20,0.5,0.5,3427.3115652447445
True,16,20,0.5,-1.0,3426.2699210702367
True,64,10,0.5,1.0,3422.151346987461
True,16,20,0.5,0.0,3421.665113932015
True,32,40,0.7,-1.0,3420.7135947319634
True,16,40,0.5,-1.0,3408.7558579159922
True,16,10,0.5,0.0,3405.117650236861
