film,horizon,diffusion_steps,guidance_weight,ensemble_temperature,weight_starting,mean_return
False,16,20,0.5,-1.0,False,3091.86880892482
True,16,20,0.5,-1.0,True,2971.399336509146
False,32,20,0.5,-1.0,True,2959.0776612526097
False,16,20,0.7,-1.0,True,2928.126571673412
False,32,20,0.5,0.5,False,2918.793538790106
True,16,20,0.7,-1.0,True,2904.1559481766585
False,32,20,0.7,0.5,False,2895.1912872454227
False,16,20,0.5,-1.0,True,2894.085253284047
False,16,20,0.5,0.5,True,2860.844342107035
False,32,20,0.5,-1.0,False,2811.7744176305914
True,16,20,1.5,-1.0,True,2796.5713946177384
False,32,20,0.7,0.5,True,2758.7352776742355
False,32,20,0.7,-1.0,False,2732.4189694906627
False,32,20,0.7,-1.0,True,2729.465798970044
True,16,20,0.5,0.5,True,2715.4450423399503
True,16,20,0.5,-1.0,False,2695.392411586121
False,32,20,1.5,0.5,True,2678.1144658290095
False,16,20,1.5,-1.0,True,2665.2286498667136
False,32,20,0.5,0.5,True,2655.4476161527405
True,16,20,3.0,-1.0,False,2651.336714485149
True,32,20,0.5,-1.0,True,2646.949587131251
False,16,20,3.0,-1.0,True,2643.0221809208115
True,16,20,0.7,0.5,True,2593.697721706508
False,16,20,0.7,0.5,True,2570.2523798313814
False,32,20,1.5,0.5,False,2562.7955847740723
True,32,20,0.7,-1.0,True,2543.269406469248
True,16,20,3.0,-1.0,True,2540.4073866584895
False,32,20,1.5,-1.0,True,2529.4236514894246
True,16,20,0.5,0.5,False,2528.7188548116555
False,32,20,1.5,-1.0,False,2526.395474215184
True,32,20,0.5,0.5,False,2520.112659439241
True,16,20,1.5,0.5,True,2489.184743821756
True,32,20,1.5,-1.0,True,2438.4638257466113
True,16,20,0.7,-1.0,False,2419.1993246404672
True,16,20,1.5,-1.0,False,2417.0343470796656
True,16,20,3.0,0.5,True,2397.7963568697724
True,16,20,0.7,0.5,False,2395.7472831946866
False,16,20,1.5,0.5,True,2365.7454304285657
True,16,20,3.0,0.5,False,2344.14884346834
True,32,20,0.7,-1.0,False,2342.313272349951
False,32,20,3.0,-1.0,True,2304.9588779838496
True,32,20,0.5,-1.0,False,2297.857642173381
False,16,20,3.0,0.5,True,2241.374620267624
False,16,20,0.7,0.5,False,2238.963013569455
True,32,20,0.5,0.5,True,2228.4147094515906
False,16,20,0.5,0.5,False,2153.177772362743
False,32,20,3.0,-1.0,False,2151.3062260679653
False,16,20,0.7,-1.0,False,2150.605127691438
True,32,20,0.7,0.5,False,2142.960630237466
True,32,20,0.7,0.5,True,2096.514832343703
True,32,20,1.5,-1.0,False,2003.114678119345
False,32,20,3.0,0.5,True,1987.9983037043828
False,32,20,3.0,0.5,False,1984.1717118841468
True,32,20,3.0,0.5,False,1965.3680062852532
True,32,20,3.0,-1.0,False,1889.9740710872281
True,32,20,3.0,-1.0,True,1886.3375697456775
False,16,20,1.5,-1.0,False,1855.185745894996
True,32,20,1.5,0.5,False,1798.4458735812188
True,32,20,1.5,0.5,True,1711.6409453801564
True,16,20,1.5,0.5,False,1681.8888046490724
True,32,20,3.0,0.5,True,1531.6081642577294
False,16,20,1.5,0.5,False,1442.9917696105833
False,16,20,3.0,-1.0,False,1431.5813016372597
False,16,20,3.0,0.5,False,1200.406864871172
